Instituto Nacional de Estadística y Geografía (INEGI),,,,,,,,,,,,,,,,,,,
"Población total por entidad federativa y grupo quinquenal de edad según sexo, serie de años censales de 1990 a 2020",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Entidad federativa,Grupo quinquenal de edad,1990,1990,1990,1995,1995,1995,2000,2000,2000,2005,2005,2005,2010,2010,2010,2020,2020,2020
Entidad federativa,Grupo quinquenal de edad,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos,Total,  81 249 645,  39 893 969,  41 355 676,  91 158 290,  44 900 499,  46 257 791,  97 483 412,  47 592 253,  49 891 159,  103 263 388,  50 249 955,  53 013 433,  112 336 538,  54 855 231,  57 481 307,  126 014 024,  61 473 390,  64 540 634
Estados Unidos Mexicanos,0 a 4 años,  10 195 178,  5 160 002,  5 035 176,  10 724 100,  5 449 356,  5 274 744,  10 635 157,  5 401 306,  5 233 851,  10 186 243,  5 175 913,  5 010 330,  10 528 322,  5 346 943,  5 181 379,  10 047 365,  5 077 482,  4 969 883
Estados Unidos Mexicanos,5 a 9 años,  10 562 234,  5 338 285,  5 223 949,  10 867 563,  5 515 644,  5 351 919,  11 215 323,  5 677 711,  5 537 612,  10 511 738,  5 339 127,  5 172 611,  11 047 537,  5 604 175,  5 443 362,  10 764 379,  5 453 091,  5 311 288
Estados Unidos Mexicanos,10 a 14 años,  10 389 092,  5 230 658,  5 158 434,  10 670 048,  5 404 261,  5 265 787,  10 736 493,  5 435 737,  5 300 756,  10 952 123,  5 545 910,  5 406 213,  10 939 937,  5 547 613,  5 392 324,  10 943 540,  5 554 260,  5 389 280
Estados Unidos Mexicanos,15 a 19 años,  9 664 403,  4 759 892,  4 904 511,  10 142 071,  5 022 243,  5 119 828,  9 992 135,  4 909 648,  5 082 487,  10 109 021,  4 995 906,  5 113 115,  11 026 112,  5 520 121,  5 505 991,  10 806 690,  5 462 150,  5 344 540
Estados Unidos Mexicanos,20 a 24 años,  7 829 163,  3 738 128,  4 091 035,  9 397 424,  4 538 686,  4 858 738,  9 071 134,  4 303 600,  4 767 534,  8 964 629,  4 253 440,  4 711 189,  9 892 271,  4 813 204,  5 079 067,  10 422 095,  5 165 884,  5 256 211
Estados Unidos Mexicanos,25 a 29 años,  6 404 512,  3 050 595,  3 353 917,  7 613 090,  3 652 995,  3 960 095,  8 157 743,  3 861 482,  4 296 261,  8 103 358,  3 805 724,  4 297 634,  8 788 177,  4 205 975,  4 582 202,  9 993 001,  4 861 404,  5 131 597
Estados Unidos Mexicanos,30 a 34 años,  5 387 619,  2 578 736,  2 808 883,  6 564 605,  3 152 462,  3 412 143,  7 136 523,  3 383 356,  3 753 167,  7 933 951,  3 745 974,  4 187 977,  8 470 798,  4 026 031,  4 444 767,  9 420 827,  4 527 726,  4 893 101
